latitude,longitude,avg_ride_cost
40.66,-74.33,100.8
40.78,-73.45,100.8
40.84,-74.07,100.8
40.73,-74.32,100.8
41.01,-73.69,100.8
40.57,-74.14,100.8
40.73,-74.3,100.55
40.84,-74.2,100.425
40.91,-73.77,100.35
40.85,-74.2,100.31
40.98,-74.13,100.3
40.65,-73.65,100.3
40.49,-74.39,100.3
40.7,-74.26,100.3
40.78,-73.44,100.3
40.98,-73.73,100.3
40.79,-74.21,100.3
40.95,-73.73,100.3
40.51,-74.37,100.3
40.91,-74.16,100.3
40.94,-74.03,100.3
40.7,-73.65,100.3
40.77,-73.53,100.3
40.65,-74.17,100.3
40.29,-74.53,100.3
41.01,-74.11,100.3
41.01,-74.23,100.3
40.93,-73.83,100.3
40.73,-73.63,100.3
40.81,-73.67,100.3
40.58,-74.39,100.3
40.7,-73.66,100.3
40.98,-74.14,100.175
41.06,-73.86,100.0
40.64,-73.7,100.0
40.69,-73.54,99.3
40.58,-74.09,98.79
40.66,-73.68,98.3
40.68,-73.67,98.3
40.77,-74.25,98.05
40.83,-74.2,97.8
41.01,-73.88,97.8
40.99,-73.76,97.63
40.98,-73.79,97.36
40.74,-73.66,96.96
40.57,-74.33,96.8
40.95,-73.96,96.8
40.67,-74.24,96.5
41.14,-73.83,96.35
40.8,-74.21,96.35
40.91,-73.8,96.35
40.93,-73.99,96.3
40.9,-73.8,95.92500000000001
40.96,-73.96,95.31
40.82,-74.21,95.3
40.84,-74.21,95.3
40.76,-73.58,95.3
40.66,-74.23,95.3
40.72,-74.13,95.3
40.8,-73.65,95.16
40.8,-73.69,95.15
40.71,-74.36,95.05
40.7,-74.3,94.925
40.73,-73.67,94.3
40.78,-73.68,94.3
40.81,-74.2,93.8
40.73,-74.17,93.69999999999999
40.82,-73.73,93.3
40.94,-73.72,92.63
40.95,-74.04,92.55
40.79,-73.63,92.3
40.9,-73.98,92.05
40.74,-73.61,92.05
40.82,-74.22,92.05
40.84,-74.14,92.05
40.86,-74.03,92.04
40.85,-74.04,91.86
41.05,-73.7,91.42
40.93,-73.97,91.38
40.68,-73.47,91.35
40.97,-73.7,90.8
40.87,-74.16,90.55
40.76,-73.59,90.465
40.74,-73.67,90.35
40.89,-74.0,90.35
40.66,-73.64,90.35
40.97,-73.83,90.3
40.92,-73.77,90.3
40.92,-74.01,90.3
40.72,-74.38,90.3
40.98,-74.11,90.3
40.59,-73.66,90.3
40.71,-73.7,90.16666666666667
40.92,-74.0,90.05
40.92,-74.08,90.05
40.86,-74.19,90.05
40.82,-74.12,90.025
40.73,-74.13,89.8
40.82,-74.07,89.76
40.81,-73.69,89.7
40.71,-74.17,89.696
40.79,-73.67,89.15
40.7,-74.24,89.15
40.72,-73.64,88.8
40.72,-74.22,88.63333333333333
40.71,-73.56,88.3
40.55,-74.14,88.3
40.73,-74.23,88.05
40.65,-73.83,87.9
40.65,-73.72,87.85
40.81,-74.12,87.85
40.91,-73.96,87.61
40.87,-74.3,87.3
40.68,-74.11,86.75333333333333
41.12,-74.05,86.3
40.91,-74.01,86.04
40.93,-73.89,86.0
40.76,-74.23,85.8
40.72,-73.62,85.8
40.81,-73.49,85.8
40.96,-73.87,85.63
40.76,-73.6,85.63
40.91,-74.02,85.55
40.85,-74.18,85.3
40.76,-73.68,85.3
40.96,-73.82,85.3
40.62,-74.24,85.3
40.88,-74.05,85.3
40.93,-73.78,85.3
40.64,-74.21,85.3
40.86,-74.02,85.3
40.79,-74.16,85.05
40.63,-73.69,84.96
40.69,-73.7,84.8
40.77,-74.08,84.8
40.89,-73.81,84.67333333333333
40.95,-73.81,84.36
40.84,-74.19,84.36
40.98,-73.78,84.35
40.43,-74.37,84.3
40.79,-73.75,84.0
40.94,-73.82,83.825
40.81,-73.7,83.76
41.08,-73.85,83.55
40.73,-74.16,83.32499999999999
40.69,-74.1,83.3
40.99,-73.81,83.3
40.85,-74.08,83.05
40.83,-74.14,83.0
40.66,-74.1,82.8
40.78,-73.7,82.8
40.9,-73.81,82.49
40.92,-73.83,82.3
40.74,-73.63,82.19999999999999
40.92,-73.84,82.13
40.67,-74.11,82.05
40.9,-73.77,82.05
40.94,-73.88,82.03
40.8,-73.68,81.8
40.68,-74.1,81.675
40.62,-74.14,81.545
40.66,-73.6,81.3
40.81,-73.76,81.01666666666667
40.84,-74.11,80.975
40.85,-73.65,80.8
40.98,-73.8,80.75
40.85,-74.17,80.425
40.79,-73.69,80.3
40.77,-73.51,80.3
40.35,-74.48,80.3
40.77,-73.45,80.3
40.83,-73.63,80.3
40.91,-74.03,80.05
40.68,-74.09,80.0
41.03,-74.12,80.0
40.68,-74.03,79.9
40.55,-74.19,79.68
40.79,-73.62,79.63
40.82,-74.03,79.15
40.83,-73.7,78.8
40.88,-73.98,78.57
40.64,-74.11,78.5
40.71,-74.1,78.35
40.7,-73.64,78.35
40.89,-73.98,78.32499999999999
40.95,-74.05,78.3
40.89,-73.94,78.1
40.8,-73.73,78.05
40.65,-74.12,78.05
40.78,-74.06,77.90200000000002
40.82,-74.1,77.60666666666667
40.71,-74.11,77.53
40.8,-74.13,77.3
40.63,-73.73,77.14500000000001
40.83,-74.09,76.8325
40.82,-74.0,76.3
40.94,-73.81,76.3
40.9,-74.01,76.175
40.73,-74.11,76.05
40.78,-74.07,76.0
40.66,-74.17,75.93666666666667
40.63,-74.25,75.88
40.87,-74.07,75.8
40.71,-73.67,75.3
40.87,-74.02,75.3
40.75,-74.17,75.3
40.67,-73.62,75.3
40.76,-74.21,75.3
40.55,-73.93,75.3
40.92,-73.95,75.3
40.75,-73.42,75.0
40.74,-73.64,74.83333333333333
40.83,-74.1,74.69545454545454
40.69,-74.18,74.44736625514405
40.93,-73.77,74.3
40.88,-73.97,74.08333333333333
40.75,-73.64,73.8
41.09,-73.92,73.3
40.96,-73.71,73.3
41.09,-74.14,73.3
40.75,-74.18,73.05
40.75,-73.59,72.96
41.03,-73.62,72.8
40.77,-74.17,72.8
40.93,-73.85,72.52799999999999
40.72,-73.47,72.35
40.76,-73.76,72.3
40.65,-73.53,72.25
40.89,-74.01,72.0
40.66,-73.69,71.83
40.79,-73.74,71.675
40.85,-73.99,71.55
40.93,-73.96,71.3
40.76,-73.63,71.3
40.8,-73.79,71.16
40.59,-74.1,71.05
40.65,-74.14,70.8
40.67,-73.63,70.41
40.83,-74.19,70.37
41.35,-73.66,70.3
41.02,-73.63,70.3
40.88,-74.09,70.3
40.98,-73.82,70.3
40.71,-73.64,70.3
40.78,-74.13,70.3
40.75,-74.12,70.3
40.62,-73.73,70.18333333333334
40.92,-73.89,70.07
40.88,-74.01,70.05
40.71,-73.63,70.0
40.7,-74.16,69.925
40.65,-73.86,69.76
40.62,-73.81,69.76
40.45,-74.05,69.76
40.66,-73.51,69.75
40.52,-73.78,69.6
40.74,-74.16,69.35
40.83,-74.03,68.94000000000001
40.95,-73.74,68.92
40.94,-73.96,68.8
40.78,-73.89,68.71
40.62,-74.08,68.63
40.97,-73.97,68.55
40.96,-73.81,68.4
41.02,-74.21,68.3
40.97,-73.82,68.3
40.77,-74.21,68.13
40.86,-73.96,68.08875
40.74,-74.17,68.08777777777777
40.94,-73.84,67.58714285714287
41.08,-73.71,67.3
40.85,-74.1,67.3
40.7,-73.5,67.3
40.64,-73.67,66.96
40.76,-74.08,66.62142857142858
40.91,-73.97,66.55
40.92,-73.82,66.4
40.43,-74.23,66.36
40.71,-74.16,66.31833333333331
40.84,-73.97,66.28714285714285
40.41,-73.71,66.13
40.83,-74.01,66.04
40.82,-74.17,65.74000000000001
40.72,-73.25,65.39
40.67,-74.22,65.35
40.86,-74.09,65.3
41.02,-74.08,65.3
40.78,-73.72,65.3
40.54,-74.29,65.3
40.92,-74.09,65.1
40.76,-73.71,65.05
40.71,-73.72,64.9975
40.79,-74.07,64.84363636363636
40.87,-74.14,64.63333333333333
40.94,-73.9,64.39399999999999
41.08,-73.86,64.325
40.86,-74.08,64.3
40.59,-73.69,64.3
40.92,-73.8,64.11
40.56,-73.91,63.96
40.72,-73.6,63.8
40.54,-74.16,63.8
40.76,-73.69,63.8
40.79,-74.05,63.50333333333333
40.66,-74.07,63.45
40.96,-73.46,63.36
40.57,-74.01,63.3
41.13,-73.78,63.3
40.85,-74.07,63.232000000000006
40.67,-74.18,63.12
40.81,-74.1,63.074999999999996
40.84,-74.16,63.005
40.68,-74.19,62.97
40.85,-74.12,62.8
40.8,-74.07,62.54999999999999
40.76,-74.07,62.529999999999994
40.7,-74.19,62.458333333333336
40.93,-73.76,62.336666666666666
40.59,-73.79,62.3
40.89,-74.02,62.3
40.58,-74.17,62.27
40.75,-74.2,62.05
40.88,-74.03,61.92750000000001
40.95,-73.82,61.91
40.87,-73.96,61.875
40.65,-73.8,61.62433453237397
40.95,-73.83,61.464999999999996
40.64,-73.8,61.34383374689816
40.62,-74.27,61.33
40.66,-73.81,61.29531100478465
41.03,-73.77,61.15
40.68,-73.8,61.12110619469021
40.84,-73.99,61.04750000000001
40.44,-74.3,60.855
40.78,-74.14,60.8
40.96,-73.83,60.8
41.01,-73.81,60.8
40.63,-73.81,60.8
40.92,-73.97,60.495
40.89,-73.97,60.312
41.36,-72.91,60.3
40.78,-73.71,60.3
40.87,-74.18,60.3
40.66,-73.58,60.3
40.65,-73.81,60.18839607201301
40.79,-74.04,60.0396
40.78,-73.73,59.95
40.95,-73.78,59.8
40.75,-74.11,59.55
40.84,-74.15,59.3
40.75,-74.03,59.270165975103744
40.93,-73.86,59.1125
40.71,-74.19,59.05
40.81,-73.52,58.95
40.66,-74.18,58.55
40.8,-73.67,58.4375
40.81,-74.08,58.34222222222221
40.88,-74.0,58.3
40.72,-73.66,58.175
38.74,-71.47,58.13
40.71,-74.12,58.13
40.53,-73.97,58.13
40.89,-74.16,58.13
40.55,-73.94,58.13
40.58,-73.91,58.13
40.77,-74.15,58.13
40.81,-73.99,58.096363636363634
40.66,-73.8,57.877754569190586
40.76,-73.7,57.8
40.8,-73.53,57.8
40.82,-73.99,57.58
40.68,-73.81,57.4117667844523
40.69,-73.81,57.36226917057897
40.93,-73.81,57.074999999999996
40.7,-74.18,56.88361538461541
40.71,-74.07,56.82
40.81,-74.09,56.79999999999999
40.67,-73.8,56.75952789699565
40.71,-74.3,56.75
40.71,-74.04,56.69453125000001
40.81,-74.01,56.633333333333326
40.75,-74.15,56.55
40.65,-73.69,56.55
40.61,-74.28,56.55
40.65,-73.76,56.470909090909075
40.7,-74.17,56.41
40.77,-74.06,56.31999999999999
40.86,-73.98,56.19200000000001
40.69,-74.39,56.175
40.73,-74.03,56.13313868613139
40.74,-74.04,56.02059880239522
40.74,-74.07,55.95277777777776
40.78,-73.79,55.85
40.8,-74.06,55.650000000000006
40.65,-73.79,55.60198411934488
40.63,-73.79,55.57647058823528
40.84,-74.0,55.474999999999994
40.72,-74.29,55.3
40.84,-73.98,55.2125
40.74,-74.03,55.11134328358209
40.9,-73.97,55.0625
40.6,-73.75,55.032000000000004
40.72,-74.04,55.02281249999998
40.63,-74.1,54.949999999999996
40.64,-73.79,54.86578663793073
40.7,-73.69,54.56666666666666
40.65,-73.78,54.516569393009405
40.88,-73.82,54.46666666666666
40.86,-73.97,54.34961538461538
40.92,-73.81,54.300000000000004
40.77,-73.7,54.3
40.64,-73.78,54.03283221237679
40.92,-74.13,53.9
40.72,-74.03,53.81232142857143
40.71,-73.6,53.8
40.72,-73.44,53.75
40.58,-73.85,53.55
40.71,-74.06,53.54272727272726
40.91,-73.78,53.50333333333334
41.04,-73.77,53.305
40.76,-74.03,53.28661290322581
40.89,-74.05,53.275
40.62,-74.17,53.26
40.89,-73.82,53.08
40.71,-73.69,52.8
40.76,-73.48,52.8
40.84,-74.09,52.8
41.0,-73.66,52.8
40.57,-74.13,52.8
40.64,-73.68,52.8
40.65,-74.19,52.8
40.72,-73.61,52.8
40.65,-73.58,52.8
40.78,-73.74,52.8
40.89,-74.06,52.8
40.27,-74.03,52.8
40.1,-74.14,52.8
40.85,-73.97,52.718235294117626
40.7,-74.14,52.63
40.72,-74.05,52.628048780487795
40.82,-74.01,52.60666666666666
40.74,-74.26,52.55
40.79,-74.0,52.537812499999994
40.56,-73.93,52.3
40.56,-74.04,52.3
40.79,-73.7,52.269999999999996
40.71,-74.15,52.175
40.74,-73.84,52.16777777777779
40.58,-73.86,51.965
40.85,-74.01,51.949999999999996
40.8,-73.7,51.88333333333333
40.73,-73.56,51.8
40.63,-74.13,51.545
40.71,-74.09,51.20125
40.83,-74.08,51.133333333333326
40.67,-73.82,51.016153846153834
40.85,-73.98,50.915000000000006
40.69,-74.41,50.8
40.57,-74.39,50.8
40.91,-73.98,50.65
40.78,-74.17,50.3
40.77,-73.37,50.3
40.84,-74.12,50.3
40.79,-73.1,50.3
41.04,-74.12,50.3
41.17,-73.85,50.3
40.73,-74.21,50.3
40.74,-74.08,50.26666666666667
40.65,-74.13,50.175
40.75,-73.7,50.074999999999996
40.94,-74.1,49.99
40.69,-74.07,49.864999999999995
40.65,-73.73,49.8
40.78,-74.05,49.732
40.75,-74.04,49.72068493150686
40.91,-73.84,49.6275
40.82,-74.11,49.48333333333333
40.7,-73.75,49.357777777777784
40.77,-74.04,49.34749999999999
40.73,-73.84,49.1710067114094
40.85,-74.0,49.16571428571428
40.76,-74.41,49.05
40.88,-73.95,48.96666666666666
40.96,-73.89,48.8
40.56,-74.11,48.8
40.88,-73.96,48.79999999999999
40.8,-73.86,48.71
40.73,-74.18,48.675
40.67,-73.79,48.63446236559141
40.66,-73.83,48.5176923076923
40.84,-74.02,48.339999999999996
40.77,-73.73,48.32
41.43,-76.72,48.3
40.66,-73.54,48.3
40.76,-74.04,47.972272727272724
40.72,-73.59,47.93000000000001
40.81,-74.11,47.70333333333334
40.83,-73.98,47.61642857142857
40.59,-74.09,47.32
41.06,-73.52,47.3
40.83,-73.97,47.263999999999996
40.65,-73.77,47.25615384615384
40.64,-74.08,47.15
41.01,-73.79,47.15
40.57,-74.23,47.05
40.67,-73.77,47.018399999999986
40.73,-74.06,46.82470588235293
40.62,-74.1,46.8
40.73,-73.6,46.55
40.57,-73.78,46.459999999999994
40.72,-74.06,46.418292682926825
40.77,-73.68,46.3
40.58,-74.12,46.3
40.88,-73.99,46.3
40.88,-73.93,46.3
40.77,-74.07,46.287499999999994
40.8,-74.0,46.24307692307691
40.61,-73.68,46.0
41.13,-74.07,46.0
40.61,-74.18,45.8
40.76,-74.05,45.78285714285714
40.81,-74.02,45.4
40.46,-74.25,45.36
40.68,-74.21,45.31
40.64,-73.88,45.215
35.64,-77.99,45.15
40.74,-73.85,45.02372159090912
40.76,-74.09,45.02
40.74,-74.05,45.01296296296295
40.79,-74.01,44.973333333333315
40.78,-74.08,44.94499999999999
40.57,-74.12,44.85
40.73,-73.91,44.82668341708544
40.7,-73.74,44.8
40.78,-74.01,44.55826086956521
40.56,-74.0,44.3
40.59,-74.08,44.3
40.77,-73.71,44.3
40.76,-74.02,44.221604938271604
40.73,-73.89,44.2145806451613
40.72,-74.08,44.205
40.92,-73.79,44.19333333333333
40.77,-73.74,44.05
40.97,-73.94,44.0
41.0,-74.1,43.8
40.73,-73.92,43.68270531400969
40.78,-74.02,43.635652173913044
40.87,-74.01,43.379
40.7,-73.82,43.326456692913396
40.89,-73.92,43.24
40.71,-74.03,43.20041666666666
40.64,-73.74,43.13727272727272
40.64,-74.12,42.96
40.63,-73.71,42.88333333333333
40.77,-74.02,42.86578947368422
40.84,-74.18,42.85
40.72,-74.18,42.8
40.61,-74.07,42.8
40.83,-74.13,42.675
40.67,-73.74,42.610625
40.83,-74.22,42.55
40.68,-73.79,42.54875
40.79,-73.8,42.32
40.74,-74.15,42.3
40.7,-73.81,42.15323788546256
40.73,-74.04,42.124669603524225
40.61,-74.08,42.08200000000001
40.96,-73.95,42.075
40.94,-73.83,42.05
40.81,-74.07,41.71333333333333
40.91,-73.86,41.55
40.79,-73.92,41.483289473684216
39.89,-74.55,41.4
40.6,-74.03,41.3
40.91,-74.17,41.3
40.79,-73.73,41.22500000000001
40.71,-73.82,41.185669014084496
40.7,-74.08,41.06571428571429
40.63,-73.83,41.0
40.77,-73.86,40.817595793356496
40.59,-73.76,40.8
40.93,-73.84,40.63333333333333
40.61,-74.15,40.629999999999995
40.69,-73.74,40.491
40.58,-74.11,40.46666666666666
40.77,-73.48,40.425
41.06,-73.83,40.42
40.59,-73.82,40.4
40.61,-74.12,40.35333333333333
40.95,-73.88,40.34
40.64,-73.71,40.3
40.81,-73.48,40.3
40.87,-73.97,40.260000000000005
40.76,-73.73,40.225
40.82,-74.05,40.05
40.58,-73.84,40.03333333333333
40.79,-74.24,40.0
40.76,-74.24,40.0
40.8,-74.16,39.986666666666665
40.76,-74.17,39.887499999999996
40.64,-73.83,39.8
40.82,-74.06,39.675
40.77,-74.03,39.52326923076922
40.91,-73.88,39.4375
40.6,-74.08,39.40333333333333
40.91,-73.81,39.4
40.65,-73.57,39.15
40.85,-73.95,38.867777777777775
40.84,-73.71,38.8
40.63,-73.78,38.630204081632655
40.77,-73.87,38.53051707047228
40.8,-73.99,38.30529411764705
40.77,-73.67,38.3
40.87,-74.06,38.3
40.6,-74.13,38.3
40.75,-73.73,38.165000000000006
43.61,-74.63,38.13
40.73,-74.07,37.978333333333325
40.9,-74.03,37.900000000000006
40.89,-73.95,37.824999999999996
40.91,-73.6,37.63
40.69,-73.69,37.60857142857143
40.85,-73.96,37.607000000000006
46.54,-74.12,37.58
40.89,-73.89,37.46666666666666
40.8,-74.02,37.43
40.59,-74.28,37.4
40.77,-73.88,37.286282977954656
40.8,-74.03,37.23333333333333
40.75,-74.06,37.20947368421051
40.66,-73.76,37.17
40.71,-74.05,36.88833333333333
40.83,-74.12,36.8
40.78,-73.87,36.77074074074074
40.76,-73.85,36.69191489361702
40.65,-73.84,36.68333333333333
40.87,-73.99,36.672000000000004
40.75,-73.85,36.53433333333332
40.86,-74.07,36.46666666666666
40.79,-74.02,36.44588235294117
40.74,-73.94,36.44376736111109
40.87,-73.84,36.42
40.87,-74.0,36.326
40.64,-74.04,36.27555555555556
40.74,-73.54,36.199999999999996
40.98,-74.1,36.13333333333333
40.6,-74.07,36.05
40.95,-74.08,35.76
40.73,-73.88,35.65392523364488
40.82,-73.98,35.598888888888894
40.67,-73.83,35.57698113207546
40.96,-73.88,35.3
40.77,-73.89,35.27193812324234
40.71,-74.18,35.18214285714286
40.71,-73.75,35.165
40.78,-73.86,35.158
40.66,-73.85,34.97833333333334
40.73,-73.9,34.954816753926714
40.7,-74.2,34.88333333333333
41.0,-73.88,34.8
40.73,-73.78,34.68
40.9,-74.06,34.63333333333333
40.67,-73.84,34.62482142857143
40.58,-73.83,34.55
40.66,-73.79,34.43722063037246
40.68,-73.78,34.37
42.75,-73.52,34.3
40.53,-74.27,34.3
40.61,-74.13,34.138
41.04,-74.33,34.0
40.93,-74.12,33.9
